TABLEID,SCHEMANAME,TABLE DESCRIPTION,TABLE NAME,COLUMNNAME,DATATYPE,PRIMARYKEY,FOREIGNKEY,DESCRIPTION
260,ATHENAONE,AMEXCONTRACT,AMEXCONTRACT,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
260,ATHENAONE,AMEXCONTRACT,AMEXCONTRACT,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
260,ATHENAONE,AMEXCONTRACT,AMEXCONTRACT,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
260,ATHENAONE,AMEXCONTRACT,AMEXCONTRACT,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CLAIMALARMDAYSID,"NUMBER(12,0)",Primary Key,,
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CLAIMALARMCLASS,VARCHAR(16777216),,,
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,INSURANCEREPORTINGCATEGORYID,"NUMBER(12,0)",,INSURANCEREPORTINGCATEGORY.INSURANCEREPORTINGCATEGORYID, foreign key to INSURANCEREPORTINGCATEGORY.ID
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,EMCRECEIVERID,"NUMBER(12,0)",,, foreign key to EMCRECEIVER.ID
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,KICKREASONID,"NUMBER(12,0)",,KICKREASON.KICKREASONID, foreign key to KICKREASON.ID
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,NUMDAYS,"NUMBER(12,0)",,,
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,ALARMACTIONID,VARCHAR(16777216),,, foreign key to ALARMACTION.ID
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,NOTE,VARCHAR(16777216),,,
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,TRANSFERTYPE,VARCHAR(16777216),,,
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,INSURANCEPACKAGEID,"NUMBER(12,0)",,INSURANCEPACKAGE.INSURANCEPACKAGEID, foreign key to INSURANCEPACKAGE.ID
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,ALARMTIMEFRAME,VARCHAR(16777216),,, Stores the type of time frame for this alarm parameter. Either FIXEDLENGTH or USERDIRECTED
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,DEFAULTDAYS,"NUMBER(12,0)",,, Stores default number of days for this alarm for USERDIRECTED timeframe
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,MAXDAYS,"NUMBER(12,0)",,, Stores maximum number of days for this alarm for USERDIRECTED timeframe
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,MINDAYS,"NUMBER(12,0)",,, Stores minimum number of days for this alarm for USERDIRECTED timeframe
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,FIREWITHKICKREASONID,"NUMBER(12,0)",,, It is the kickreasonid which should be fired when claim alarm corresponding to this alarm paramater gets fired. foreign key to KICKREASON.ID
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,MEDIUM,VARCHAR(16777216),,, For CLAIMALARMCLASS=BILLED claim alarms only. Generally electronic or paper - this is the medium of the claimformat of the billingbatch of the claimnote that set this alarm.
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CSIKICKONCEYN,VARCHAR(16777216),,, To store checkbox value based on whether a claim is kicked again with the same kickcode.
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,PRACTICEID,"NUMBER(12,0)",,, foreign key to CONTEXT.ID
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,LOCKEXPIRATIONDATETIME,TIMESTAMP_NTZ(9),,,
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CASENUMBER,"NUMBER(12,0)",,,
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the allowable category was deleted."
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
261,ATHENAONE,CLAIMALARMDAYS,CLAIMALARMDAYS,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,BATCHMETHODID,"NUMBER(12,0)",Primary Key,,
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,NAME,VARCHAR(16777216),,,
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,ORDERING,"NUMBER(38,0)",,,
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,TYPE,VARCHAR(16777216),,,
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,EPAYMENTMETHODYN,VARCHAR(16777216),,,
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the allowable category was deleted."
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
262,ATHENAONE,BATCHMETHOD,BATCHMETHOD,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
263,ATHENAONE,CARDTYPE,CARDTYPE,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
263,ATHENAONE,CARDTYPE,CARDTYPE,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
263,ATHENAONE,CARDTYPE,CARDTYPE,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
263,ATHENAONE,CARDTYPE,CARDTYPE,CARDTYPEID,"NUMBER(12,0)",Primary Key,,
263,ATHENAONE,CARDTYPE,CARDTYPE,ABBREVIATION,VARCHAR(16777216),,, The abbreviation used by the payment processor gateway.
263,ATHENAONE,CARDTYPE,CARDTYPE,NAME,VARCHAR(16777216),,, The human-readable name.
263,ATHENAONE,CARDTYPE,CARDTYPE,BATCHMETHODID,"NUMBER(12,0)",,, foreign key to BATCHMETHOD.ID
263,ATHENAONE,CARDTYPE,CARDTYPE,FILTER,VARCHAR(16777216),,, The regular expression to test on card account numbers.
263,ATHENAONE,CARDTYPE,CARDTYPE,ORDERING,"NUMBER(12,0)",,,
263,ATHENAONE,CARDTYPE,CARDTYPE,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the allowable category was deleted."
263,ATHENAONE,CARDTYPE,CARDTYPE,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
263,ATHENAONE,CARDTYPE,CARDTYPE,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
263,ATHENAONE,CARDTYPE,CARDTYPE,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
263,ATHENAONE,CARDTYPE,CARDTYPE,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
263,ATHENAONE,CARDTYPE,CARDTYPE,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
263,ATHENAONE,CARDTYPE,CARDTYPE,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,ENROLLMENTCATEGORYID,"NUMBER(12,0)",Primary Key,,
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,NAME,VARCHAR(16777216),,, Name of the Enrollment Category
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,PROVIDERNUMBERCATEGORYID,"NUMBER(12,0)",,PROVIDERNUMBERCATEGORY.PROVIDERNUMBERCATEGORYID, Provider number category id foreign key to PROVIDERNUMBERCATEGORY.ID
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,ALLOWINSURANCEPACKAGEDETAILYN,VARCHAR(16777216),,, Allow Enrollment Category to have insurance package level detail
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,NOTE,VARCHAR(16777216),,, Internal Note about Enrollment Category visible only to athena users
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,EXTERNALNOTE,VARCHAR(16777216),,, External Notes about Enrollment Category
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,ORDERING,"NUMBER(12,0)",,, Ordering the records in the table.
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,CLEARINGHOUSEYN,VARCHAR(16777216),,," If 'Y', then this is a clearinghouse category"
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,GROUPENROLLMENTLEVEL,VARCHAR(16777216),,," TAXID, NPI, or LEGACY, null if we don't know yet"
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,PROVIDERENROLLMENTLEVEL,VARCHAR(16777216),,," TAXID, NPI, or LEGACY"
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,WEBUSERNAME,VARCHAR(16777216),,,
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,WEBPASSWORD,VARCHAR(16777216),,,
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,TYPE,VARCHAR(16777216),,," DOCUMENT, VACCINE, PAYER, P4PPROGRAM or EPAYMENT"
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,PARAMETERTYPE,VARCHAR(16777216),,," Currently used for the input type for documents (MEDICALBOARD, PROFESSIONALBOARD, STATE)"
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,LASTREVIEWEDDATETIME,TIMESTAMP_NTZ(9),,,
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,LASTREVIEWEDBY,VARCHAR(16777216),,, User certifying that requirements were reviewed at the above date
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the allowable category was deleted."
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
264,ATHENAONE,ENROLLMENTCATEGORY,ENROLLMENTCATEGORY,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFITID,"NUMBER(12,0)",Primary Key,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,ELIGIBILITYTRACKID,"NUMBER(12,0)",,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,BENEFITINFO,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,COVERAGELEVEL,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,SERVICETYPECODE,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,INSURANCETYPE,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,PLANCOVERAGEDESC,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,TIMEPERIODTYPE,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,MONETARYAMOUNT,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,PERCENTAGE,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,QUANTITYTYPE,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,QUANTITY,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,AUTHORIZATIONREQ,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,PLANNETWORK,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,MEDICALPROCEDURE,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,DIAGNOSIS,VARCHAR(16777216),,,
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
265,ATHENAONE,ELIGIBILITYBENEFIT,ELIGIBILITYBENEFIT,DELETEDDATETIME,VARCHAR(16777216),,,"The date and time, in US/Eastern, the allowable category was deleted."
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATEID,"NUMBER(12,0)",Primary Key,,
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITID,"NUMBER(12,0)",,,
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,DATEQUALIFIER,VARCHAR(16777216),,,
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,PRIMARYDATEDATETIME,TIMESTAMP_NTZ(9),,,
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,ENDDATEDATETIME,TIMESTAMP_NTZ(9),,,
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
266,ATHENAONE,ELIGIBILITYBENEFITDATE,ELIGIBILITYBENEFITDATE,DELETEDDATETIME,VARCHAR(16777216),,,"The date and time, in US/Eastern, the allowable category was deleted."
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPEID,"NUMBER(12,0)",Primary Key,,
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,NAME,VARCHAR(16777216),,,
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,NOTE,VARCHAR(16777216),,,
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,ORDERING,"NUMBER(11,0)",,,
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the allowable category was deleted."
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
267,ATHENAONE,GOVERNMENTFUNDEDTYPE,GOVERNMENTFUNDEDTYPE,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIXID,"NUMBER(12,0)",Primary Key,,
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,LOCALPATIENTAPPOINTMENTLABELID,"NUMBER(12,0)",,,
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,APPOINTMENTTYPEMATRIXID,"NUMBER(12,0)",,APPOINTMENTTYPEMATRIX.APPOINTMENTTYPEMATRIXID,
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,APPOINTMENTMATRIXSUMMARYID,"NUMBER(12,0)",,,
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,PROVIDERID,"NUMBER(12,0)",,PROVIDER.PROVIDERID,
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,DEPARTMENTID,"NUMBER(12,0)",,DEPARTMENT.DEPARTMENTID,
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,APPOINTMENTTYPEID,"NUMBER(12,0)",,APPOINTMENTTYPE.APPOINTMENTTYPEID,
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,GLOBALID,"NUMBER(12,0)",,,
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the allowable category was deleted."
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
268,ATHENAONE,PATIENTLABELAPPTMATRIX,PATIENTLABELAPPTMATRIX,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
269,ATHENAONE,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDR,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
269,ATHENAONE,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDR,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
269,ATHENAONE,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDR,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
269,ATHENAONE,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDRID,"NUMBER(12,0)",Primary Key,,
269,ATHENAONE,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDR,SOURCEID,"NUMBER(12,0)",,,
269,ATHENAONE,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDR,OPERATION,VARCHAR(16777216),,,
269,ATHENAONE,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDR,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
269,ATHENAONE,PATIENTLABELAPPTMATRIXAUDR,PATIENTLABELAPPTMATRIXAUDR,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
